word_count,date
45,2021-09-15 22:42:45
3,2021-09-15 22:40:12
39,2021-09-15 22:39:40
21,2021-09-15 22:38:47
56,2021-09-15 22:37:02
15,2021-09-15 22:36:46
13,2021-09-15 22:35:21
16,2021-09-15 22:35:04
13,2021-09-15 22:13:23
8,2021-09-15 22:13:08
19,2021-09-15 22:09:54
10,2021-09-15 22:09:49
15,2021-09-15 19:46:54
28,2021-09-15 19:46:50
24,2021-09-15 18:14:12
23,2021-09-15 18:14:06
22,2021-09-15 18:13:53
20,2021-09-15 18:13:47
30,2021-09-15 18:13:34
9,2021-09-15 18:12:59
5,2021-09-15 18:12:57
16,2021-09-14 18:11:46
27,2021-09-11 19:21:06
17,2021-09-11 19:20:43
60,2021-09-11 19:02:59
7,2021-09-11 19:02:30
14,2021-09-11 18:55:32
20,2021-09-11 18:49:52
20,2021-09-11 18:49:38
5,2021-09-11 18:49:32
5,2021-09-11 18:49:24
16,2021-09-11 18:38:23
30,2021-09-11 18:37:37
21,2021-09-11 18:37:30
5,2021-09-11 18:37:24
4,2021-09-11 18:22:32
43,2021-09-11 16:58:21
6,2021-09-11 16:57:58
26,2021-09-11 15:09:46
18,2021-09-11 15:09:41
4,2021-09-11 15:09:22
19,2021-09-11 15:08:30
68,2021-09-11 15:08:27
5,2021-09-11 15:08:11
20,2021-09-11 15:06:48
38,2021-09-11 15:06:36
4,2021-09-11 15:06:27
43,2021-09-11 15:05:04
21,2021-09-11 15:04:33
59,2021-09-11 15:04:01
47,2021-09-11 15:03:49
28,2021-09-11 15:02:16
6,2021-09-11 14:46:56
7,2021-09-11 14:46:39
69,2021-10-05 10:26:52
25,2021-10-05 10:26:31
26,2021-10-05 10:26:22
14,2021-10-05 10:26:15
43,2021-10-05 10:26:12
25,2021-10-05 10:26:01
2,2021-10-05 10:25:45
20,2021-10-05 10:25:44
30,2021-10-05 10:25:38
22,2021-10-05 10:25:30
37,2021-10-05 10:25:24
15,2021-10-05 10:25:16
19,2021-10-05 10:24:46
5,2021-10-05 10:24:37
53,2021-10-05 10:24:35
43,2021-10-05 10:24:15
10,2021-10-05 10:24:02
14,2021-10-05 10:23:58
28,2021-10-05 10:23:55
2,2021-10-05 10:19:56
83,2021-10-05 10:19:55
13,2021-10-05 08:51:44
