"ts","artistName","trackName","ms_played"
"2021-01-11 02:04","Taio Cruz","Dynamite",1024
"2021-01-11 02:04","T.I.","On Top Of The World",15423
"2021-01-11 02:04","Justin Timberlake","Summer Love",1066
"2021-01-11 02:04","Pharrell Williams","Frontin' (feat. Jay-Z) - Club Mix",5205
"2021-01-11 02:04","Pharrell Williams","Frontin' (feat. Jay-Z) - Club Mix",1045
"2021-01-11 02:04","Baby Bash","Cyclone (feat. T-Pain)",2367
"2021-01-11 02:04","KRS-One","Sound of da Police",1024
"2021-01-11 02:04","Outkast","Roses",20501
"2021-01-11 02:05","A$AP Rocky","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",1301
"2021-01-11 02:05","Outkast","Benz Or Beamer",7146
"2021-01-11 02:05","Architecture In Helsinki","Escapee",1663
"2021-01-11 02:05","Foster The People","Call It What You Want",1109
"2021-01-11 02:05","David Guetta","Love Is Gone",917
"2021-01-11 02:05","David Guetta","Love Is Gone",1600
"2021-01-11 02:05","Kanye West","Amazing",4031
"2021-01-11 02:05","Owl City","Fireflies",1109
"2021-01-11 02:05","DJ Felli Fel","Get Buck In Here",1856
"2021-01-11 02:05","Justin Timberlake","Summer Love",1535
"2021-01-11 02:05","¯abson","Floyd Mayweather",1301
"2021-01-11 02:05","Soulja Boy","Turn My Swag On",896
"2021-01-11 02:05","Masno","OMAMA",1173
"2021-01-11 02:05","KRS-One","Sound of da Police",1002
"2021-01-11 02:05","Rick Ross","Hustlin'",2133
"2021-01-11 02:05","50 Cent","Disco Inferno",5482
"2021-01-11 02:05","Chiddy Bang","Opposite of Adults",4714
"2021-01-11 02:05","Dr. Dre","Forgot About Dre",1471
"2021-01-11 02:05","Eminem","Ass Like That",1471
"2021-01-11 02:05","Chris Brown","Gimme That",1280
"2021-01-11 02:05","¯abson","Internaziomal",1258
"2021-01-11 02:05","Chamillionaire","Hip Hop Police - Main",25728
"2021-01-11 02:06","Flo Rida","In the Ayer (feat. will.I.am)",1130
"2021-01-11 02:06","Architecture In Helsinki","Escapee",1109
"2021-01-11 02:06","Caribou","Odessa",1109
"2021-01-11 02:06","Malik Montana","Rundki (feat. Diho, Alberto & Bibic)",1365
"2021-01-11 02:06","Kanye West","Amazing",1088
"2021-01-11 02:06","Digitalism","Circles",1237
"2021-01-11 02:06","Waka Flocka Flame","No Hands (feat. Roscoe Dash & Wale)",4181
"2021-01-11 02:06","Kanye West","Homecoming",1130
"2021-01-11 02:06","DJ Khaled","All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",20629
"2021-01-11 02:06","Sean Paul","Give It Up to Me - Radio Edit",981
"2021-01-11 02:06","Rihanna","SOS",4053
"2021-01-11 02:06","Usher","Yeah! (feat. Lil Jon & Ludacris)",1941
"2021-01-11 02:06","Eminem","Just Lose It",3776
"2021-01-11 02:08","Outkast","Benz Or Beamer",1728
"2021-01-11 02:08","Iyaz","Replay",1130
"2021-01-11 02:08","Metro Station","Shake It",1493
"2021-01-11 02:08","Kanye West","Can't Tell Me Nothing",8618
"2021-01-11 02:08","Justin Timberlake","What Goes Around.../...Comes Around (Interlude)",1685
"2021-01-11 02:08","LMFAO","Yes",2240
"2021-01-11 02:08","JAY-Z","Big Pimpin'",76885
"2021-01-11 02:08","TEDE","Wielkie Jo³",2175
"2021-01-11 02:08","Snoop Dogg","That's That Shit",22741
"2021-01-11 02:08","Timbaland","The Way I Are",2538
"2021-01-11 02:08","Gym Class Heroes","Cupid's Chokehold / Breakfast in America",1962
