"rodzaj","gracz","color","nazwa","n","typ"
"rapid","tymekkk","black","g",0,"Pawns_captures"
"rapid","tymekkk","black","h",0,"Pawns_captures"
"rapid","tymekkk","white","a",0,"Pawns_captures"
"rapid","tymekkk","white","b",0,"Pawns_captures"
"rapid","tymekkk","white","c",0,"Pawns_captures"
"rapid","tymekkk","white","d",0,"Pawns_captures"
"rapid","tymekkk","white","e",0,"Pawns_captures"
"rapid","tymekkk","white","f",0,"Pawns_captures"
"rapid","tymekkk","white","g",0,"Pawns_captures"
"rapid","tymekkk","white","h",0,"Pawns_captures"
"rapid","tymekkk","both","a",0,"Pawns_captures"
"rapid","tymekkk","both","b",0,"Pawns_captures"
"rapid","tymekkk","both","c",0,"Pawns_captures"
"rapid","tymekkk","both","d",0,"Pawns_captures"
"rapid","tymekkk","both","e",0,"Pawns_captures"
"rapid","tymekkk","both","f",0,"Pawns_captures"
"rapid","tymekkk","both","g",0,"Pawns_captures"
"rapid","tymekkk","both","h",0,"Pawns_captures"
"blitz","grooney","black","a",15,"Pawns_promotions"
"blitz","grooney","black","b",13,"Pawns_promotions"
"blitz","grooney","black","c",4,"Pawns_promotions"
"blitz","grooney","black","d",3,"Pawns_promotions"
"blitz","grooney","black","e",5,"Pawns_promotions"
"blitz","grooney","black","f",6,"Pawns_promotions"
"blitz","grooney","black","g",7,"Pawns_promotions"
"blitz","grooney","black","h",8,"Pawns_promotions"
"blitz","grooney","both","a",24,"Pawns_promotions"
"blitz","grooney","both","b",23,"Pawns_promotions"
"blitz","grooney","both","c",12,"Pawns_promotions"
"blitz","grooney","both","d",6,"Pawns_promotions"
"blitz","grooney","both","e",11,"Pawns_promotions"
"blitz","grooney","both","f",12,"Pawns_promotions"
"blitz","grooney","both","g",16,"Pawns_promotions"
"blitz","grooney","both","h",15,"Pawns_promotions"
"blitz","grooney","white","a",9,"Pawns_promotions"
"blitz","grooney","white","b",10,"Pawns_promotions"
"blitz","grooney","white","c",8,"Pawns_promotions"
"blitz","grooney","white","d",3,"Pawns_promotions"
"blitz","grooney","white","e",6,"Pawns_promotions"
"blitz","grooney","white","f",6,"Pawns_promotions"
"blitz","grooney","white","g",9,"Pawns_promotions"
"blitz","grooney","white","h",7,"Pawns_promotions"
"blitz","Mlodziak77","black","a",10,"Pawns_promotions"
"blitz","Mlodziak77","black","b",6,"Pawns_promotions"
"blitz","Mlodziak77","black","c",9,"Pawns_promotions"
"blitz","Mlodziak77","black","d",5,"Pawns_promotions"
"blitz","Mlodziak77","black","e",1,"Pawns_promotions"
"blitz","Mlodziak77","black","f",4,"Pawns_promotions"
"blitz","Mlodziak77","black","g",11,"Pawns_promotions"
"blitz","Mlodziak77","black","h",6,"Pawns_promotions"
"blitz","Mlodziak77","both","a",22,"Pawns_promotions"
"blitz","Mlodziak77","both","b",14,"Pawns_promotions"
"blitz","Mlodziak77","both","c",17,"Pawns_promotions"
"blitz","Mlodziak77","both","d",10,"Pawns_promotions"
"blitz","Mlodziak77","both","e",5,"Pawns_promotions"
"blitz","Mlodziak77","both","f",6,"Pawns_promotions"
"blitz","Mlodziak77","both","g",17,"Pawns_promotions"
"blitz","Mlodziak77","both","h",11,"Pawns_promotions"
"blitz","Mlodziak77","white","a",12,"Pawns_promotions"
"blitz","Mlodziak77","white","b",8,"Pawns_promotions"
"blitz","Mlodziak77","white","c",8,"Pawns_promotions"
"blitz","Mlodziak77","white","d",5,"Pawns_promotions"
"blitz","Mlodziak77","white","e",4,"Pawns_promotions"
"blitz","Mlodziak77","white","f",2,"Pawns_promotions"
"blitz","Mlodziak77","white","g",6,"Pawns_promotions"
"blitz","Mlodziak77","white","h",5,"Pawns_promotions"
"blitz","tymekkk","black","a",7,"Pawns_promotions"
"blitz","tymekkk","black","b",3,"Pawns_promotions"
"blitz","tymekkk","black","c",6,"Pawns_promotions"
"blitz","tymekkk","black","d",8,"Pawns_promotions"
"blitz","tymekkk","black","e",4,"Pawns_promotions"
"blitz","tymekkk","black","f",4,"Pawns_promotions"
"blitz","tymekkk","black","g",5,"Pawns_promotions"
"blitz","tymekkk","black","h",4,"Pawns_promotions"
"blitz","tymekkk","both","a",14,"Pawns_promotions"
"blitz","tymekkk","both","b",7,"Pawns_promotions"
"blitz","tymekkk","both","c",6,"Pawns_promotions"
"blitz","tymekkk","both","d",15,"Pawns_promotions"
"blitz","tymekkk","both","e",9,"Pawns_promotions"
"blitz","tymekkk","both","f",8,"Pawns_promotions"
"blitz","tymekkk","both","g",9,"Pawns_promotions"
"blitz","tymekkk","both","h",10,"Pawns_promotions"
"blitz","tymekkk","white","a",7,"Pawns_promotions"
"blitz","tymekkk","white","b",4,"Pawns_promotions"
"blitz","tymekkk","white","d",7,"Pawns_promotions"
"blitz","tymekkk","white","e",5,"Pawns_promotions"
"blitz","tymekkk","white","f",4,"Pawns_promotions"
"blitz","tymekkk","white","g",4,"Pawns_promotions"
"blitz","tymekkk","white","h",6,"Pawns_promotions"
"bullet","grooney","black","a",86,"Pawns_promotions"
"bullet","grooney","black","b",52,"Pawns_promotions"
"bullet","grooney","black","c",43,"Pawns_promotions"
"bullet","grooney","black","d",34,"Pawns_promotions"
"bullet","grooney","black","e",24,"Pawns_promotions"
"bullet","grooney","black","f",29,"Pawns_promotions"
